tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9793	Equus asinus	106824969	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		17	NC_052193.1	44652929	44660239	plus	7		
8845	Anser cygnoides	106047079	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_025927692.1	52896	60472	plus	8		
7950	Clupea harengus	105904234	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		3	NC_045154.1	13507382	13513280	minus	7		
37293	Aotus nancymaae	105719862	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_026988521.1	1243746	1250548	minus	9		
9545	Macaca nemestrina	105494153	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_012011633.1	698866	705363	minus	7		
132908	Pteropus vampyrus	105305958	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_011889186.1	290468	312638	minus	9		
9838	Camelus dromedarius	105105438	0	live	GATD1	Cadr_000030537, PDDC1	glutamine amidotransferase class 1 domain containing 1	LOW QUALITY PROTEIN: glutamine amidotransferase-like class 1 domain-containing protein 1|Glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_022191904.1	7957515	7962377	plus	7		
9837	Camelus bactrianus	105069831	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_011510397.1	214686	219642	plus	6		
8010	Esox lucius	105029680	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		19	NC_047587.1	3140337	3143239	plus	7		
885580	Fukomys damarensis	104873586	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_022900928.1	544545	550603	minus	8		
932674	Corvus cornix cornix	104684625	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		5	NC_046335.1	54797222	54804174	plus	8		
61622	Rhinopithecus roxellana	104682332	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		15	NC_044563.1	369617	377875	minus	7		
279965	Antrostomus carolinensis	104524132	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_010312004.1	338	2825	plus	3		
188379	Egretta garzetta	104131374	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_009260499.1	432232	453892	minus	8		
9135	Serinus canaria	103822287	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		5	NC_066319.1	10215578	10223489	plus	8		
29073	Ursus maritimus	103671096	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_024424786.1	46954834	46963307	plus	9		
244447	Cynoglossus semilaevis	103380268	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		6	NC_024312.1	12920160	12922039	minus	7		
29078	Eptesicus fuscus	103302544	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		13	NC_072485.1	82972880	82979277	minus	8		
60711	Chlorocebus sabaeus	103233153	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_023666038.1	97649989	97675918	minus	9		
1230840	Orycteropus afer afer	103204154	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_006921831.1	4460092	4464586	plus	7		
9365	Erinaceus europaeus	103125752	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		17	NC_080178.1	391985	396557	minus	7		
176946	Python bivittatus	103058700	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_006534179.1	188294	198365	plus	8		
9767	Balaenoptera acutorostrata	103004755	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		9	NC_080072.1	657650	664550	minus	8		
9755	Physeter catodon	102980159	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		18	NC_041231.1	4317094	4325027	plus	8		
9694	Panthera tigris	102954700	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		D1	NC_056669.1	114136273	114144473	plus	8		
230844	Peromyscus maniculatus bairdii	102910749	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		1	NC_056008.1	132401642	132407851	minus	8		
9713	Leptonychotes weddellii	102736700	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_006384434.1	105530	112811	plus	8		
30538	Vicugna pacos	102524861	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	LOW QUALITY PROTEIN: glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_022038916.1	207265	212156	plus	7		
13735	Pelodiscus sinensis	102447897	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_005852990.1	15225	29671	minus	6		
59463	Myotis lucifugus	102427322	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_005873550.1	5660	9456	plus	6		
89462	Bubalus bubalis	102402087	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		5	NC_059161.1	132038233	132043590	plus	8		
38654	Alligator sinensis	102387834	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_005841925.1	3706192	3725652	minus	7		
8153	Haplochromis burtoni	102295830	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_024582685.1	385691	388005	plus	7		
8083	Xiphophorus maculatus	102221137	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		2	NC_036444.1	7856867	7860517	plus	7		
9541	Macaca fascicularis	102131796	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		14	NC_052268.1	124871362	124878144	plus	7		
44394	Zonotrichia albicollis	102069557	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_005081871.1	248559	257671	minus	8		
345164	Falco cherrug	102047230	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		10	NC_073706.1	18655537	18662527	minus	8		
48883	Geospiza fortis	102041013	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_005054416.1	1029016	1033282	minus	6		
79684	Microtus ochrogaster	101999251	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		8	NC_022015.1	34121142	34127044	minus	8		
43179	Ictidomys tridecemlineatus	101970319	0	live	Gatd1	H1C71_007927, Pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_024404947.1	543104	547296	minus	8		
8479	Chrysemys picta	101932133	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_024943973.1	20011	36703	plus	7		
8954	Falco peregrinus	101911599	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		9	NC_073729.1	20436443	20443432	plus	8		
9371	Echinops telfairi	101638353	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_022103935.1	578719	582374	minus	6		
51337	Jaculus jaculus	101603766	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		1	NC_059102.1	153676312	153688888	minus	8		
10160	Octodon degus	101575205	0	live	Gatd1	Pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_004524669.1	8467710	8470709	minus	7		
42254	Sorex araneus	101558451	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		6	NC_073307.1	167898011	167900301	minus	7		
9978	Ochotona princeps	101521121	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_026697404.1	77471	79915	plus	8		
106582	Maylandia zebra	101478127	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		LG7	NC_036786.1	13984172	13986516	minus	7		
9361	Dasypus novemcinctus	101446777	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		10	NC_080682.1	644236	649466	minus	10		
9739	Tursiops truncatus	101326475	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		8	NC_047041.1	107952554	107959571	plus	10		
9733	Orcinus orca	101284944	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		8	NC_064566.1	475758	485300	minus	8		
9940	Ovis aries	101102104	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		21	NC_056074.1	46966132	46972341	plus	8		
27679	Saimiri boliviensis	101045862	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_024100923.1	102338222	102345360	plus	7		
9555	Papio anubis	101009815	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		12	NC_044987.1	122887194	122895003	plus	7		
30611	Otolemur garnettii	100941643	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_003852655.1	1040512	1050710	plus	10		
9305	Sarcophilus harrisii	100922764	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		6	NC_045431.1	234438241	234449549	minus	8		
8128	Oreochromis niloticus	100699269	0	live	gatd1	pddc1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		LG7	NC_031972.2	51187878	51190707	plus	7		
9785	Loxodonta africana	100657413	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		7	NC_087348.1	806267	813518	minus	9		
61853	Nomascus leucogenys	100597974	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		21	NC_044401.1	82273545	82286329	plus	9		
9103	Meleagris gallopavo	100543771	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		5	NC_015015.2	4956439	4967225	minus	8		
9646	Ailuropoda melanoleuca	100464462	0	live	GATD1	PANDA_021687, PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		16	NC_048233.1	90816643	90824015	plus	10		
59729	Taeniopygia guttata	100219151	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		5	NC_044217.2	9841636	9848464	plus	8		
9258	Ornithorhynchus anatinus	100083988	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	LOW QUALITY PROTEIN: glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		3	NC_041730.1	3663094	3675863	plus	7		
13616	Monodelphis domestica	100030192	0	live	GATD1	PDDC1	glutamine amidotransferase class 1 domain containing 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		6	NC_077232.1	559425	565617	minus	10		
114398	Parasteatoda tepidariorum	107443890	0	live	LOC107443890		glutamine amidotransferase-like class 1 domain-containing protein 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain-containing protein 1		Un	NW_024970960.1	165404	174827	plus	7		
7719	Ciona intestinalis	100179358	0	live	LOC100179358		glutamine amidotransferase-like class 1 domain-containing protein 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain-containing protein 1		4	NC_020169.2	4972418	4974382	minus	5		
2652724	Exaiptasia diaphana	110238191	0	live	LOC110238191	AC249_AIPGENE10009, pddc1	glutamine amidotransferase-like class 1 domain-containing protein 1	glutamine amidotransferase-like class 1 domain-containing protein 1|Parkinson disease 7 domain-containing protein 1		Un	NW_018385444.1	943560	944770	minus	6		
9598	Pan troglodytes	134807698	0	live	LOC134807698		Parkinson disease protein 7 homolog			11	NC_072409.2	42592519	42593829	minus	0		
110931	Cynocephalus volans	134391255	0	live	LOC134391255		Parkinson disease protein 7 homolog			11	NC_084470.1	104519857	104520413	plus	0		
110931	Cynocephalus volans	134390877	0	live	LOC134390877		Parkinson disease protein 7 homolog			11	NC_084470.1	104129043	104129825	minus	0		
110931	Cynocephalus volans	134390875	0	live	LOC134390875		Parkinson disease protein 7 homolog			11	NC_084470.1	103932369	103933151	plus	0		
110931	Cynocephalus volans	134390873	0	live	LOC134390873		Parkinson disease protein 7 homolog			11	NC_084470.1	102965746	102966528	minus	0		
110931	Cynocephalus volans	134390872	0	live	LOC134390872		Parkinson disease protein 7 homolog			11	NC_084470.1	102765681	102766463	plus	0		
110931	Cynocephalus volans	134390871	0	live	LOC134390871		Parkinson disease protein 7 homolog			11	NC_084470.1	102547144	102547927	plus	0		
110931	Cynocephalus volans	134390869	0	live	LOC134390869		Parkinson disease protein 7 homolog			11	NC_084470.1	102399685	102400467	plus	0		
110931	Cynocephalus volans	134390867	0	live	LOC134390867		Parkinson disease protein 7 homolog			11	NC_084470.1	102127061	102127956	plus	0		
110931	Cynocephalus volans	134390866	0	live	LOC134390866		Parkinson disease protein 7 homolog			11	NC_084470.1	101938483	101939108	plus	0		
110931	Cynocephalus volans	134390211	0	live	LOC134390211		Parkinson disease protein 7 homolog			11	NC_084470.1	104349263	104350031	minus	0		
110931	Cynocephalus volans	134390161	0	live	LOC134390161		Parkinson disease protein 7 homolog			11	NC_084470.1	100576677	100577302	plus	0		
110931	Cynocephalus volans	134386174	0	live	LOC134386174		Parkinson disease protein 7 homolog			1	NC_084460.1	106776083	106776658	plus	0		
110931	Cynocephalus volans	134367841	0	live	LOC134367841		Parkinson disease protein 7 homolog			X	NC_084478.1	33120312	33120902	plus	0		
110931	Cynocephalus volans	134361227	0	live	LOC134361227		Parkinson disease protein 7 homolog			12	NC_084471.1	82213564	82214132	plus	0		
77151	Mustela nigripes	132020391	0	live	LOC132020391		Parkinson disease protein 7 homolog			6	NC_081562.1	99188638	99196435	minus	0		
9666	Mustela lutreola	131839711	0	live	LOC131839711		Parkinson disease protein 7 homolog			8	NC_081297.1	49942025	49955182	plus	0		
27615	Kogia breviceps	131741007	0	live	LOC131741007		Parkinson disease protein 7 homolog			14	NC_081323.1	86260952	86261700	minus	0		
77932	Diceros bicornis minor	131398026	0	live	LOC131398026		Parkinson disease protein 7 homolog			35	NC_080774.1	23670170	23670803	plus	0		
9361	Dasypus novemcinctus	131273317	0	live	LOC131273317		Parkinson disease protein 7 homolog			14	NC_080686.1	96114705	96124692	plus	0		
48139	Psammomys obesus	129691647	0	live	LOC129691647		Parkinson disease protein 7 homolog			Un	NW_026596091.1	12508192	12510435	plus	0		
34880	Nyctereutes procyonoides	129522169	0	live	LOC129522169		Parkinson disease protein 7 homolog			Un	NW_026575024.1	14982073	15011738	plus	0		
9590	Symphalangus syndactylus	129491920	0	live	LOC129491920		Parkinson disease protein 7 homolog			10	NC_072432.2	90326368	90328004	minus	0		
9590	Symphalangus syndactylus	129478248	0	live	LOC129478248		Parkinson disease protein 7 homolog			3	NC_072425.2	48729020	48730110	minus	0		
9590	Symphalangus syndactylus	129473669	0	live	LOC129473669		Parkinson disease protein 7-like			23	NC_072445.2	70294728	70297560	plus	0		
9600	Pongo pygmaeus	129044406	0	live	LOC129044406		Parkinson disease protein 7 homolog			13	NC_072386.2	86366663	86368040	plus	0		
9600	Pongo pygmaeus	129009848	0	live	LOC129009848		Parkinson disease protein 7 homolog			10	NC_072383.2	47226676	47228077	plus	0		
9483	Callithrix jacchus	128928662	0	live	LOC128928662		Parkinson disease protein 7-like			9	NC_071450.1	66421620	66428543	minus	0		
154827	Xyrauchen texanus	127625739	0	live	LOC127625739		Parkinson disease protein 7 homolog			32	NC_068307.1	32427360	32440529	minus	0		
70543	Myxocyprinus asiaticus	127426045	0	live	LOC127426045		Parkinson disease protein 7 homolog			35	NC_059378.1	38696781	38713730	plus	0		
257877	Macaca thibetana thibetana	126953315	0	live	LOC126953315		Parkinson disease protein 7 homolog			4	NC_065581.1	336633	342031	minus	0		
257877	Macaca thibetana thibetana	126930336	0	live	LOC126930336		Parkinson disease protein 7 homolog			11	NC_065588.1	45964035	45967643	plus	0		
214514	Perognathus longimembris pacificus	125359852	0	live	LOC125359852		Parkinson disease protein 7 homolog			1	NC_063161.1	17009066	17010169	minus	0		
214514	Perognathus longimembris pacificus	125345790	0	live	LOC125345790		Parkinson disease protein 7 homolog			2	NC_063162.1	87839919	87851118	minus	0		
9657	Lutra lutra	125107564	0	live	LOC125107564		Parkinson disease protein 7-like			8	NC_062285.1	44912298	44912862	minus	0		
30640	Sciurus carolinensis	124991493	0	live	LOC124991493		Parkinson disease protein 7 homolog			8	NC_062220.1	124231001	124231664	plus	0		
30640	Sciurus carolinensis	124987554	0	live	LOC124987554		Parkinson disease protein 7 homolog			6	NC_062218.1	16748402	16748964	minus	0		
30640	Sciurus carolinensis	124982112	0	live	LOC124982112		Parkinson disease protein 7 homolog			4	NC_062216.1	176252741	176253306	plus	0		
30640	Sciurus carolinensis	124979055	0	live	LOC124979055		Parkinson disease protein 7 homolog			3	NC_062215.1	66625416	66625992	plus	0		
30640	Sciurus carolinensis	124974766	0	live	LOC124974766		Parkinson disease protein 7 homolog			Un	NW_025920173.1	209179	209702	plus	0		
30640	Sciurus carolinensis	124974534	0	live	LOC124974534		Parkinson disease protein 7 homolog			Un	NW_025920152.1	1171451	1171977	plus	0		
30640	Sciurus carolinensis	124974533	0	live	LOC124974533		Parkinson disease protein 7 homolog			Un	NW_025920152.1	332613	333136	minus	0		
30640	Sciurus carolinensis	124974526	0	live	LOC124974526		Parkinson disease protein 7 homolog			Un	NW_025920152.1	1119549	1120054	minus	0		
30640	Sciurus carolinensis	124974362	0	live	LOC124974362		Parkinson disease protein 7 homolog			Un	NW_025920144.1	341147	341670	plus	0		
30640	Sciurus carolinensis	124974361	0	live	LOC124974361		Parkinson disease protein 7 homolog			Un	NW_025920144.1	393352	393875	plus	0		
9662	Meles meles	123947367	0	live	LOC123947367		Parkinson disease protein 7 homolog			7	NC_060072.1	102791610	102792373	plus	0		
9643	Ursus americanus	123787302	0	live	LOC123787302		Parkinson disease protein 7 homolog			Un	NW_025576906.1	7458265	7458829	minus	0		
9447	Lemur catta	123622284	0	live	LOC123622284		Parkinson disease protein 7-like			17	NC_059144.1	9163979	9164512	minus	0		
191870	Gracilinanus agilis	123233881	0	live	LOC123233881		Parkinson disease protein 7 homolog			2	NC_058131.1	421069551	421148681	minus	0		
494514	Vulpes lagopus	121477826	0	live	LOC121477826		Parkinson disease protein 7 homolog			18	NC_054841.1	14917267	14917769	plus	0		
130825	Ochotona curzoniae	121159523	0	live	LOC121159523		Parkinson disease protein 7 homolog			Un	NW_024466218.1	30832319	30832994	minus	0		
9615	Canis lupus familiaris	119865749	0	live	LOC119865749		Parkinson disease protein 7 homolog			24	NC_051828.1	33561164	33565473	minus	0		
60711	Chlorocebus sabaeus	119626774	0	live	LOC119626774		Parkinson disease protein 7 homolog			Un	NW_023666044.1	402353	408306	minus	0		
27675	Choloepus didactylus	119541544	0	live	LOC119541544		Parkinson disease protein 7 homolog			8	NC_051314.1	35819702	35820286	plus	0		
27675	Choloepus didactylus	119539082	0	live	LOC119539082		Parkinson disease protein 7-like			7	NC_051313.1	126268742	126269327	plus	0		
27675	Choloepus didactylus	119530506	0	live	LOC119530506		Parkinson disease protein 7 homolog			3	NC_051309.1	157435816	157436393	plus	0		
27675	Choloepus didactylus	119524925	0	live	LOC119524925		Parkinson disease protein 7-like			1	NC_051307.1	136245525	136246106	minus	0		
27675	Choloepus didactylus	119508151	0	live	LOC119508151		Parkinson disease protein 7-like			13	NC_051319.1	13793485	13795473	minus	0		
27675	Choloepus didactylus	119505233	0	live	LOC119505233		Parkinson disease protein 7 homolog			10	NC_051316.1	12213323	12213890	minus	0		
451745	Nematolebias whitei	119412772	0	live	LOC119412772		Parkinson disease protein 7 homolog			7	NC_056504.1	32035521	32051682	minus	0		
50954	Talpa occidentalis	119258068	0	live	LOC119258068		Parkinson disease protein 7 homolog			Un	NW_023604295.1	30915670	30916273	plus	0		
50954	Talpa occidentalis	119246547	0	live	LOC119246547		Parkinson disease protein 7-like			Un	NW_023601543.1	20592593	20593198	minus	0		
